drug_local_idx,model,AP,nDCG@10,P@15,R@15
0,CAFNet,0.5675506802026319,0.841492960259019,0.8,0.12
1,CAFNet,0.058490901861972686,0.08514311764162101,0.13333333333333333,0.09090909090909091
2,CAFNet,0.1981641722709888,0.27426546945536817,0.4,0.42857142857142855
3,CAFNet,0.2100978871382965,0.2816575879096919,0.26666666666666666,0.16666666666666666
4,CAFNet,0.05133354696676595,0.0,0.0,0.0
5,CAFNet,0.053884455825297044,0.0,0.06666666666666667,0.06666666666666667
6,CAFNet,0.665801822915848,0.77990823370192,0.8,0.19047619047619047
7,CAFNet,0.1341920840689843,0.13886244387355456,0.2,0.16666666666666666
8,CAFNet,0.3746405170471601,0.3699573188553854,0.6,0.10714285714285714
9,CAFNet,0.48412945183622236,0.5763233549126812,0.4666666666666667,0.5
10,CAFNet,0.4338086035236489,0.713308065210993,0.6666666666666666,0.20408163265306123
11,CAFNet,0.08454652420181612,0.2001366809542687,0.13333333333333333,0.4
12,CAFNet,0.5991840219857311,0.8611375561264456,0.7333333333333333,0.05555555555555555
13,CAFNet,0.31239859730020086,0.5599332595218056,0.4,0.23076923076923078
14,CAFNet,0.4596993515336856,0.5894280199323519,0.5333333333333333,0.27586206896551724
15,CAFNet,0.017003620695802194,0.0,0.0,0.0
16,CAFNet,0.15368859154726142,0.13886244387355456,0.13333333333333333,0.14285714285714285
17,CAFNet,0.3659609391278552,0.37878333867593544,0.4,0.18181818181818182
18,CAFNet,0.200570561803351,0.2200917662980802,0.13333333333333333,0.09090909090909091
19,CAFNet,0.5913953455096752,1.0,0.8666666666666667,0.5
20,CAFNet,0.3129656144301096,0.36792125721353286,0.3333333333333333,0.3333333333333333
21,CAFNet,0.5749115708278375,0.9305687780632229,0.8666666666666667,0.14942528735632185
22,CAFNet,0.1631020546037333,0.2200917662980802,0.13333333333333333,0.05
23,CAFNet,0.21780497221030526,0.24703059344735187,0.3333333333333333,0.08196721311475409
24,CAFNet,0.18609109279046698,0.35314377643380923,0.3333333333333333,0.14285714285714285
25,CAFNet,0.27229930737624003,0.423676645087319,0.5333333333333333,0.10256410256410256
26,CAFNet,0.48648079528117005,0.9305687780632229,0.9333333333333333,0.04778156996587031
27,CAFNet,0.5044558463062447,0.7510916729774055,0.8,0.2926829268292683
28,CAFNet,0.13255004105739748,0.2601414854823592,0.13333333333333333,0.2857142857142857
29,CAFNet,0.28302435371450385,0.6051399156371956,0.4666666666666667,0.14
30,CAFNet,0.4408222786316253,0.6722390270733758,0.4666666666666667,0.4375
31,CAFNet,0.2494515802944776,0.24936270394794907,0.26666666666666666,0.16
32,CAFNet,0.22853754547955324,0.24890832702259466,0.3333333333333333,0.19230769230769232
33,CAFNet,0.12068121473688312,0.0,0.0,0.0
34,CAFNet,0.4512811989366919,0.7058075148678529,0.7333333333333333,0.2682926829268293
35,CAFNet,0.021647111473800003,0.0,0.0,0.0
36,CAFNet,0.4592643104050775,0.7819835854675756,0.6666666666666666,0.15873015873015872
37,CAFNet,0.2604470780941369,0.39806284658828084,0.13333333333333333,0.3333333333333333
38,CAFNet,0.34376489160128326,0.7948833326720566,0.6666666666666666,0.17857142857142858
39,CAFNet,0.47638798539845156,0.8357804136936722,0.8,0.14634146341463414
40,CAFNet,0.7064255911594155,0.9363792118010483,0.8666666666666667,0.30952380952380953
41,CAFNet,0.0689465540915777,0.16617090792688716,0.13333333333333333,0.2857142857142857
42,CAFNet,0.44184708144922225,0.7162874455029682,0.6666666666666666,0.05154639175257732
43,CAFNet,0.530027773161746,0.7280855459907166,0.6,0.375
44,CAFNet,0.19825662755390075,0.17993148201117182,0.2,0.10344827586206896
45,CAFNet,0.22679197994987468,0.2826335043946801,0.2,0.6
46,CAFNet,0.14553673839388126,0.08274602130532004,0.06666666666666667,0.14285714285714285
47,CAFNet,0.4174132301080395,0.6325414799409712,0.4666666666666667,0.18421052631578946
48,CAFNet,0.34837491399797715,0.7084409501232901,0.5333333333333333,0.23529411764705882
49,CAFNet,0.33674867708536727,0.5637884576902257,0.3333333333333333,0.29411764705882354
50,CAFNet,0.2635088519304117,0.39356081945565907,0.26666666666666666,0.3076923076923077
51,CAFNet,0.3616888118992107,0.6062415623539281,0.4666666666666667,0.25925925925925924
52,CAFNet,0.24278206766746335,0.5309999066793253,0.4666666666666667,0.11290322580645161
53,CAFNet,0.035709292785484716,0.0,0.0,0.0
54,CAFNet,0.3579278707734801,0.6025064803817582,0.4666666666666667,0.25
55,CAFNet,0.26497407397580003,0.6975961695061493,0.4666666666666667,0.22580645161290322
56,CAFNet,0.3214039424427649,0.3070147303424654,0.3333333333333333,0.29411764705882354
57,CAFNet,0.6798467712035554,1.0,1.0,0.05434782608695652
58,CAFNet,0.40032894736842106,0.5206888446176334,0.26666666666666666,0.5
59,CAFNet,0.299158344584219,0.17318663334822615,0.4,0.2727272727272727
60,CAFNet,0.12603194896495903,0.2200917662980802,0.13333333333333333,0.1
61,CAFNet,0.44160109591982927,0.6777277508780453,0.5333333333333333,0.2222222222222222
62,CAFNet,0.6148879128868455,0.92663607790064,0.9333333333333333,0.4375
63,CAFNet,0.47451032492830403,0.718362797268624,0.5333333333333333,0.4
64,CAFNet,0.3733095810719158,0.42696207545852366,0.5333333333333333,0.25806451612903225
65,CAFNet,0.49378660984613565,0.8553475075669357,0.6,0.2903225806451613
66,CAFNet,0.09956357636449832,0.17441424290825341,0.13333333333333333,0.25
67,CAFNet,0.09270661181801508,0.0,0.06666666666666667,0.1
68,CAFNet,0.5070150747884666,1.0,1.0,0.14705882352941177
69,CAFNet,0.2979198443042835,0.6032621820619529,0.6,0.11538461538461539
