drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
0,CAFNet,rare,0.21686722823499827,0.36288691033421755,0.2,0.2727272727272727
0,CAFNet,middle,0.22662526135112576,0.3565964385966263,0.3333333333333333,0.21739130434782608
0,CAFNet,frequent,0.7152932760252981,0.841492960259019,0.8,0.18181818181818182
1,CAFNet,rare,0.010943914760777166,0.0,0.0,0.0
1,CAFNet,middle,0.025333205040322607,0.0,0.0,0.0
1,CAFNet,frequent,0.11650500271033962,0.09785159463516042,0.13333333333333333,0.25
2,CAFNet,rare,0.01063936063936064,0.0,0.0,0.0
2,CAFNet,middle,0.016025641025641024,0.0,0.0,0.0
2,CAFNet,frequent,0.27499173401895816,0.27426546945536817,0.4,0.6
3,CAFNet,rare,0.1303030303030303,0.16716045496620227,0.13333333333333333,0.6666666666666666
3,CAFNet,middle,0.04423076923076923,0.0,0.0,0.0
3,CAFNet,frequent,0.26959421146022383,0.29062463495159,0.3333333333333333,0.2631578947368421
4,CAFNet,rare,0.005434782608695652,0.0,0.0,0.0
4,CAFNet,middle,,,,
4,CAFNet,frequent,0.06436609494437888,0.0,0.0,0.0
5,CAFNet,rare,0.20193382517326178,0.2960819109658652,0.06666666666666667,0.3333333333333333
5,CAFNet,middle,0.07975139424093133,0.11284514134893527,0.13333333333333333,0.5
5,CAFNet,frequent,0.0595575841319764,0.07311683844390995,0.06666666666666667,0.125
6,CAFNet,rare,0.34444444444444444,0.49818925746641285,0.13333333333333333,0.6666666666666666
6,CAFNet,middle,0.7502641078728034,0.92663607790064,0.6,0.6923076923076923
6,CAFNet,frequent,0.7088912908591016,0.77990823370192,0.8,0.2553191489361702
7,CAFNet,rare,0.007582681213228994,0.0,0.0,0.0
7,CAFNet,middle,,,,
7,CAFNet,frequent,0.16376365109358054,0.13886244387355456,0.2,0.1875
8,CAFNet,rare,0.011840499348214233,0.0,0.0,0.0
8,CAFNet,middle,0.04618063192414128,0.0,0.0,0.0
8,CAFNet,frequent,0.5472425037322413,0.4647456832249362,0.7333333333333333,0.1774193548387097
9,CAFNet,rare,,,,
9,CAFNet,middle,,,,
9,CAFNet,frequent,0.4938189074255729,0.5763233549126812,0.4666666666666667,0.5
10,CAFNet,rare,0.005371804198711286,0.0,0.0,0.0
10,CAFNet,middle,0.16871337942533865,0.2350455494144854,0.06666666666666667,0.1111111111111111
10,CAFNet,frequent,0.532794798433889,0.6816604510406282,0.6666666666666666,0.2631578947368421
11,CAFNet,rare,,,,
11,CAFNet,middle,0.008164619980086293,0.0,0.0,0.0
11,CAFNet,frequent,0.13846153846153847,0.3044671974905181,0.13333333333333333,0.6666666666666666
12,CAFNet,rare,0.050017876303522,0.0,0.06666666666666667,0.09090909090909091
12,CAFNet,middle,0.29515945823421463,0.4518648409659428,0.4,0.10526315789473684
12,CAFNet,frequent,0.7349639393282202,0.7975167679274939,0.7333333333333333,0.08461538461538462
13,CAFNet,rare,0.012630948805781987,0.0,0.0,0.0
13,CAFNet,middle,0.011608463566788862,0.0,0.0,0.0
13,CAFNet,frequent,0.3795282027379249,0.59839506697425,0.4,0.2857142857142857
14,CAFNet,rare,,,,
14,CAFNet,middle,0.03940217391304348,0.0,0.0,0.0
14,CAFNet,frequent,0.5170417479526301,0.5894280199323519,0.5333333333333333,0.3076923076923077
15,CAFNet,rare,0.025353016688061617,0.0,0.0,0.0
15,CAFNet,middle,0.05944211335890496,0.0,0.0,0.0
15,CAFNet,frequent,,,,
16,CAFNet,rare,0.3333333333333333,0.5249810332008933,0.13333333333333333,1.0
16,CAFNet,middle,0.13480392156862744,0.2640681225725909,0.06666666666666667,0.5
